"","X","SBL","STORIES","GROSS_SQ_FT","OVER_COND","BUILD_AGE","CLASS","CLASSDSCRP","CURRENT_LAND_VALUE","STRUCTURE_VALUE","CrowdednessRate","DisabledRate","HSCompletedRate","BothParentsRate","UnemploymentRate","YoungUnemploymentRate","MalePopRate","PovertyRate","NonWhiteRate","ChildrenRate","ElderlyRate","VacancyRate","OwnerOccupiedRate","MedianIncome","FIRE"
"5706",5838,"12237000010010000000",2,8.85480763261623,"NORMAL",57,"Community services","RELIGIOUS",12.1335019526953,13.0714910470306,0.00655502261765888,0.147412736285943,0.927193624318245,0.587380586099409,0.0555570650375975,0.0257480215033725,0.537826615439222,0.174087375969369,0.140744325911098,0.0143051031770543,0.101506020809977,0.0478800486499416,0.1894264236207,48880.8085551334,"NO"
"5707",5839,"12237000010030000000",2,9.35062391742324,"NORMAL",97,"Community services","RELIGIOUS",12.5400417519333,12.5981147333062,0.0068278788144432,0.14506740210509,0.928263823425042,0.602987879769033,0.0557718626737008,0.0252922543163232,0.537434794562588,0.175067518733795,0.137896348891723,0.0141779775321268,0.101668212927568,0.0471950751611157,0.192022653537692,48907.0662865391,"NO"
"5708",5840,"12237000010040000000",1,9.21562637640542,"NORMAL",46,"Community services","RELIGIOUS",12.9202471932822,14.5533920698644,0.00685049610350297,0.144872995301304,0.928352533166053,0.604281582006794,0.0557896674378306,0.0252544753751265,0.537402316187052,0.175148763625735,0.137660277582946,0.0141674399761097,0.101681657174208,0.0471382971088756,0.192237857308727,48909.2428128861,"YES"
"5709",5841,"12237000010050000000",3,9.32134493001909,"NORMAL",117,"Community services","RELIGIOUS",12.5734896860008,13.2164000193307,0.00707145630621917,0.142973732898083,0.929219185323386,0.616920440180931,0.055963611551161,0.0248853930114908,0.537085017839608,0.175942487742947,0.135353972697997,0.0140644930443388,0.101813001096773,0.0465836024281979,0.194340296232663,48930.5064445083,"YES"
"5710",5842,"12237000010060000000",2,8.09985791073758,"POOR",97,"Commercial","APARTMENT",11.3586081045859,12.5489528784467,0.0123918662395172,0.160181785065693,0.819543119847735,0.219156568356085,0.149291278643806,0.0175628769710207,0.477945583840059,0.273202501830622,0.494104746939018,0.064395981219431,0.0782210825084845,0.165211204098483,0.179006535007363,37384.3036146755,"NO"
"5711",5843,"12237000010100000000",2,9.62905070683437,"NORMAL",57,"Commercial","APARTMENT",12.6329730343584,13.3269355431331,0.0186440670461775,0.102367983482351,0.852513499204354,0.622215241873587,0.148444618439558,0.00701822921779887,0.472300136719877,0.290604157327205,0.40203677600313,0.0580655001440179,0.0836689124323417,0.140974657769879,0.242764637017305,38766.2983639805,"NO"
"5712",5844,"12237000010110000000",2,8.70417055974639,"NORMAL",97,"Commercial","APARTMENT",11.47210347045,12.0668105781967,0.0189092032311152,0.103290327432464,0.846913519701448,0.601670301884691,0.153187265979795,0.00665493124710482,0.469299971847436,0.295531452394014,0.420341225134374,0.0606280814535785,0.0824656917883181,0.147022208876996,0.241932588896182,38178.4924197407,"NO"
"5713",5845,"12237000010120000000",2,8.58858318750291,"NORMAL",102,"Commercial","APARTMENT",11.0219024685004,12.372857463175,0.019003969264095,0.103619995286799,0.844911952686432,0.594327047469935,0.154882401984393,0.00652507983704409,0.468227640949587,0.29729258585421,0.426883674368362,0.0615440094886457,0.082035631865489,0.149183748720374,0.241635194937279,37968.3964741019,"NO"
"5714",5846,"12237000010130000000",2,8.55756708555451,"NORMAL",102,"Commercial","APARTMENT",11.0219024685004,12.1484435326935,0.0190779359886946,0.103877307433612,0.843349690855773,0.58859549514172,0.156205488475073,0.00642372829593992,0.467390665910041,0.298667184637522,0.431990182739357,0.0622589090638691,0.0816999617643674,0.15087087244265,0.241403073191079,37804.4125184385,"NO"
"5715",5847,"12237000010140000000",2,8.77894188184151,"NORMAL",102,"Commercial","APARTMENT",11.0666383623418,12.3609373560911,0.0127828347492668,0.117813134269326,0.836251184931301,0.259835604444243,0.140720745166542,0,0.492519000573482,0.261624522472502,0.460936165879017,0.0595728534914461,0.111016071597592,0.168051611754417,0.235941745879929,42082.4838332785,"NO"
