SBL,Latitute,Longtitute,X,PROB,RiskLevel
10738000020230000000,-77.56961141,43.17152885,3143,0.448005459827949,Mid
10738000030190000000,-77.56775493,43.17158721,3144,0.217728097194334,Mid
10739000030570000000,-77.56518256,43.17165269,3145,0.00301106372225218,Low
10739000040060000000,-77.56488237,43.17120541,3147,0.00882278712817452,Low
10740000010210000000,-77.55848902,43.17342596,3148,0.0145469917772471,Low
10740000010340000000,-77.55935974,43.171732,3149,0.00167662040386945,Low
10740000010360000000,-77.55935428,43.17121815,3150,0.0137311352537247,Low
10740000010370000000,-77.55965848,43.17124905,3151,0.0315689800383468,Low
10740000010410000000,-77.56055663,43.17091097,3152,0.00548492963362619,Low
10740000010420000000,-77.56051983,43.17106113,3153,0.0633544073924866,Low
10740000010580000000,-77.56037018,43.17136431,3154,0.0748576902960799,Low
10740000010600000000,-77.5604691,43.17195552,3155,0.336369542173398,Mid
10740000010610000000,-77.56094152,43.171769,3156,0.297008453059016,Mid
10745000010010000000,-77.5784571,43.17087859,3157,0.00112246916258081,Low
10745000010860000000,-77.57889228,43.17014965,3158,0.0091321513593719,Low
10745000010880000000,-77.57828566,43.17050026,3159,5.95151132049565e-5,Low
10745000020020000000,-77.57491586,43.17080438,3160,0.00101264177405711,Low
10745000020230000000,-77.5742088,43.16871129,3161,0.00184767837121019,Low
10745000020270000000,-77.57483133,43.16839978,3162,5.23329608806025e-4,Low
10745000030200000000,-77.57257142,43.16966316,3164,0.0251124897837169,Low
10745000030570000000,-77.57388501,43.16882309,3165,0.924169749386374,High
10745000040010000000,-77.57450941,43.16810886,3166,0.00213482292057387,Low
10746000010130000000,-77.57003139,43.17111267,3167,4.04759477765725e-4,Low
10746000010150000000,-77.57035353,43.16899832,3168,0.0288468961183556,Low
10746000010290000000,-77.57220226,43.16815245,3169,0.138002296501335,Mid
10746000020010000000,-77.56741894,43.17110738,3172,0.00247557498748633,Low
10747000010010000000,-77.56679447,43.17111861,3173,0.00260706776345447,Low
10747000010030000000,-77.56632479,43.17114103,3174,0.00324414260797971,Low
10747000020370000000,-77.56147669,43.16930407,3175,0.979317049536018,High
10748000010080000000,-77.55999615,43.17089897,3177,0.0275179485611395,Low
10748000010090000000,-77.56000098,43.17070092,3178,0.062749409083081,Low
10748000010120000000,-77.559796,43.1701243,3179,0.842746394785906,High
