SBL,Latitute,Longtitute,X,PROB,RiskLevel
12136000010550000000,-77.58184145,43.15217896,39123,0.00105506911048575,Low
12136000010570000000,-77.5828282,43.15256631,39132,0.0130433344420968,Low
12136000010620000000,-77.58400787,43.15377219,39133,0.0124673111681679,Low
12136000010630000000,-77.58395272,43.15387904,39134,0.012599973590939,Low
12136000010640000000,-77.58389116,43.15399872,39135,0.00360787739314196,Low
12136000010650000000,-77.58382695,43.15414685,39136,0.0114666150435332,Low
12136000010660000000,-77.58375801,43.15428928,39137,0.00309311029224409,Low
12136000010670000000,-77.58369159,43.15443284,39138,0.0508539988000334,Mid
12137000010130000000,-77.6218366,43.14954229,39139,0.513942755149749,High
12137000010140000000,-77.62196961,43.14955881,39140,0.018903765086876,Low
12137000010150000000,-77.62208151,43.14955905,39141,0.00356605351080832,Low
12137000010160000000,-77.62219478,43.14955868,39142,0.0666107111494995,Mid
12137000010170000000,-77.62231022,43.1495578,39143,0.131865332925139,High
12137000010180000000,-77.62242366,43.14956074,39144,0.0735739945892131,Mid
12137000010230000000,-77.6229985,43.14955725,39147,0.0598680128590069,Mid
12137000010320000000,-77.62319426,43.1500246,39148,0.0181121769283604,Low
12137000010330000000,-77.62304259,43.15002417,39149,0.0212296567949302,Low
12137000010340000000,-77.62289258,43.15002428,39150,0.704435307727511,High
12137000010350000000,-77.62274196,43.15002416,39151,0.014997755987598,Low
12137000010360000000,-77.6225883,43.15002401,39152,0.00554666851071629,Low
12137000010370000000,-77.62243815,43.15002352,39153,0.0642503284345327,Mid
12137000010390000000,-77.62213464,43.14999589,39154,0.0313814356234358,Low
12137000010410000000,-77.62192523,43.14997545,39155,0.0291201298179157,Low
12137000010430000000,-77.62205915,43.15014262,39156,0.00976861890491974,Low
12137000010450000000,-77.62213074,43.15035731,39157,0.0168140987774316,Low
12137000010460000000,-77.62228892,43.15030134,39158,0.162100923209198,High
12137000010470000000,-77.62249462,43.15030075,39159,0.188080252613113,High
12137000010480000000,-77.62272267,43.15030026,39160,9.52429054457693e-4,Low
12137000010490000000,-77.62289435,43.15029962,39161,0.00592330569252125,Low
12137000010500000000,-77.62304411,43.15029886,39162,0.0940850384485787,Mid
12137000010510000000,-77.62319548,43.15029864,39163,0.160899781517383,High
12137000010520000000,-77.62334753,43.15029854,39164,0.685538324036556,High
12137000010600000000,-77.62289568,43.15072223,39167,0.052999514119131,Mid
12137000010610000000,-77.62274401,43.15072236,39168,0.104723282356764,Mid
12137000010680000000,-77.62258337,43.15100744,39171,0.221794344920553,High
12137000010690000000,-77.62274463,43.15100671,39172,0.157525016187632,High
12137000010700000000,-77.62289745,43.1510061,39173,0.175069817492683,High
12137000010710000000,-77.62304813,43.1510056,39174,0.0145472383179085,Low
12137000010720000000,-77.62319855,43.15100378,39175,0.643534030654535,High
12137000010730000000,-77.62335734,43.15100358,39176,0.0857476588458753,Mid
12137000010740000000,-77.62350908,43.1510026,39177,0.634084801216269,High
12137000010750000000,-77.62365201,43.15100216,39178,0.0325854284582745,Low
12137000020130000000,-77.61906474,43.15018401,39181,0.197393542668081,High
12137000020140000000,-77.61906508,43.15008819,39182,0.128703745381043,High
12137000020170000000,-77.61905998,43.14967862,39184,0.0036503177634459,Low
12137000020180000000,-77.61905995,43.14957181,39185,0.103573110351743,Mid
12137000020190000000,-77.61906629,43.14947455,39186,0.0267071665919278,Low
12137000020200000000,-77.61931281,43.14958469,39187,0.0969117914653361,Mid
12137000020210000000,-77.61944638,43.14958005,39188,0.0038817177445987,Low
12137000020220000000,-77.6195977,43.1495789,39189,0.0316086657704356,Low
12137000020240000000,-77.61989648,43.1495775,39190,0.0169474371914379,Low
12137000020250000000,-77.62004708,43.14957799,39191,0.0975776081547478,Mid
12137000020260000000,-77.6201957,43.14957612,39192,0.029245075784507,Low
12137000020280000000,-77.6192093,43.14996326,39193,0.00757012250015465,Low
12137000020310000000,-77.61963941,43.15001636,39195,0.02952285271931,Low
12137000020320000000,-77.61978128,43.15001578,39196,0.036452693372236,Low
12137000020330000000,-77.61992474,43.150015260000004,39197,0.00803607336786655,Low
12137000020340000000,-77.62008542,43.1500147,39198,0.029493851523309,Low
12137000020410000000,-77.62006733,43.150291,39201,0.130871631697495,High
12137000020420000000,-77.61992533,43.15029155,39202,0.0179291406674514,Low
12137000020430000000,-77.61978137,43.15029196,39203,0.00176130594777266,Low
12137000020440000000,-77.61963892,43.15029243,39204,0.0682789744666596,Mid
12137000020450000000,-77.61949745,43.15029203,39205,0.0247764922833033,Low
12137000020480100000,-77.62011284,43.1510165,39215,0.00366604375832024,Low
12137000020480100000,-77.62029977,43.15101435,39215,0.00366604375832024,Low
12137000020480100000,-77.61994681,43.15101578,39215,0.00366604375832024,Low
12137000020530000000,-77.62027177,43.15073134,39218,0.0195337369112793,Low
12137000020730000000,-77.62024652,43.15147063,39224,0.0162667573981514,Low
12138000010080000000,-77.61660224,43.15149567,39225,0.0154215422269689,Low
12138000010090000000,-77.61646845,43.15148132,39226,0.00717817677326208,Low
12138000010100000000,-77.61637312,43.15147353,39227,0.0127770003028434,Low
12138000010120000000,-77.61608395,43.15181321,39228,0.456002389334051,High
12138000010160000000,-77.6161217,43.15144033,39231,0.032067032484554,Low
12138000010180000000,-77.61691566,43.15099824,39232,9.58328025888916e-4,Low
12138000010190000000,-77.61675509,43.15099943,39233,0.00780656139861271,Low
12138000010200000000,-77.61659868,43.15101779,39234,6.91476365644324e-4,Low
12138000010210000000,-77.61627473,43.15105817,39235,0.00758635646104542,Low
12138000010220000000,-77.61604623,43.15096831,39236,0.095177298602104,Mid
12138000010230000000,-77.6158835,43.15094989,39237,0.00841298226395326,Low
12138000010240000000,-77.61576459,43.15105421,39238,0.0716162708315131,Mid
12138000010260000000,-77.61569214,43.15088256,39239,0.0467730538033229,Low
12138000010270000000,-77.61569058,43.15077925,39240,0.0257746155998436,Low
